source,window,flow_key,packet_count,total_bytes,duration_s,bytes_per_sec,mean_payload_len,std_payload_len,min_payload_len,max_payload_len,mean_iat,std_iat,min_iat,max_iat,burst_count,upload_ratio,label
browse_session1,0,5t:142.250.77.130:443-172.17.93.240:53917/17,10,4306,0.1233,34932.93,430.6,493.32,30,1258,0.013696,0.017015,0.0,0.049173,1,0.0,web
browse_session1,0,5t:172.17.93.240:57523-172.217.24.97:443/17,15,11305,0.1419,79670.49,753.67,566.69,32,1258,0.010135,0.018042,0.0,0.063571,1,0.0,web
browse_session1,0,5t:104.18.3.240:443-172.17.93.240:50154/17,17,11440,0.447,25592.63,672.94,526.21,32,1208,0.027938,0.049779,0.0,0.167101,3,0.0,web
browse_session1,0,cid:01309e0bcc8b45670832600b898b7003d8cd0e97,12,2907,0.462,6291.76,242.25,355.14,51,1258,0.042003,0.051528,0.000233,0.162479,2,1.0,web
browse_session2,0,cid:fec7c3effdece172,13,4656,0.2307,20186.02,358.15,502.49,39,1258,0.019221,0.033255,0.000231,0.121578,2,1.0,data
browse_session2,0,5t:172.17.93.240:56394-172.217.24.206:443/17,14,7753,0.2488,31155.93,553.79,555.07,32,1258,0.019142,0.033691,0.0,0.12135,2,0.0,web
browse_session2,0,5t:142.251.155.119:443-172.17.93.240:62199/17,1323,1524344,4.4501,342543.04,1152.19,320.49,30,1258,0.003366,0.025135,0.0,0.577948,10,0.0,web
browse_session2,1,5t:142.251.155.119:443-172.17.93.240:62199/17,23,3499,1.8551,1886.14,152.13,251.06,30,1158,0.084323,0.166766,0.0,0.664138,4,0.0,web
browse_session2,0,cid:e65eac16dcc4b067,461,62080,4.427,14022.93,134.66,268.4,37,1258,0.009624,0.041506,5.4e-05,0.576566,9,1.0,web
browse_session2,1,cid:e65eac16dcc4b067,20,3436,1.8412,1866.18,171.8,280.94,37,1258,0.096905,0.177588,0.000204,0.657095,5,1.0,web
browse_session2,0,5t:172.17.93.240:60525-216.239.34.223:443/17,17,11848,0.3607,32845.15,696.94,570.02,32,1258,0.022545,0.0708,0.0,0.294888,2,0.0,data
browse_session2,0,cid:e44f0ed76394e884,13,2254,0.321,7022.46,173.38,331.31,39,1258,0.026748,0.081349,0.000129,0.296268,2,1.0,data
browse_session2,0,5t:142.250.77.99:443-172.17.93.240:57067/17,47,50967,0.1355,376164.84,1084.4,403.56,31,1258,0.002945,0.013232,0.0,0.089493,1,0.0,web
browse_session2,0,5t:172.17.93.240:49702-172.217.24.162:443/17,16,9202,0.3015,30521.88,575.12,560.33,29,1258,0.020099,0.031306,7.4e-05,0.112875,2,0.0,web
browse_session2,0,5t:142.250.77.106:443-172.17.93.240:52455/17,17,9986,0.1084,92091.5,587.41,546.97,32,1258,0.006777,0.012747,0.0,0.043011,1,0.0,web
browse_session2,0,cid:f5a1f456a7d9f685,8,2680,0.0719,37282.95,335.0,506.86,39,1258,0.010269,0.014754,0.000227,0.045496,1,1.0,web
browse_session2,0,5t:142.251.43.35:443-172.17.93.240:50089/17,16,10679,0.9845,10847.24,667.44,549.88,32,1258,0.065633,0.227359,0.0,0.915683,2,0.0,web
