service,session,window,ip_a,ip_b,packet_count,total_bytes,duration_s,bytes_per_sec,mean_payload_len,std_payload_len,min_payload_len,max_payload_len,mean_iat,std_iat,min_iat,max_iat,burst_count,upload_ratio,label
youtube,4,3,172.17.93.240,49.44.142.242,14,7470,0.033,226063.17,533.57,558.91,30,1258,0.002542,0.004094,2.9e-05,0.013125,1,0.5714,video
youtube,4,0,172.17.93.240,49.44.139.173,1180,1150140,0.9551,1204150.59,974.69,512.58,31,1258,0.00081,0.001741,0.0,0.030802,1,0.2288,video
youtube,4,1,172.17.93.240,49.44.139.173,9,3467,0.035,99171.07,385.22,486.65,30,1258,0.00437,0.006079,0.0,0.017462,1,0.4444,video
youtube,4,2,172.17.93.240,49.44.139.173,10,6039,0.0278,217337.67,603.9,549.2,30,1258,0.003087,0.004737,0.0,0.012865,1,0.4,video
youtube,4,0,142.250.66.3,172.17.93.240,128,92566,3.774,24527.43,723.17,595.2,31,1258,0.029716,0.263456,0.0,2.971574,5,0.6094,web
youtube,4,1,142.250.66.3,172.17.93.240,21,9082,3.5085,2588.55,432.48,528.62,32,1258,0.175426,0.645948,0.0,2.982514,4,0.5238,web
youtube,4,2,142.250.66.3,172.17.93.240,21,13186,0.0417,316343.93,627.9,566.87,33,1258,0.002084,0.003378,0.0,0.01192,1,0.4286,web
youtube,4,0,172.17.93.240,49.44.226.172,1067,1041706,0.9041,1152224.45,976.29,511.57,31,1258,0.000848,0.003088,0.0,0.089142,1,0.2334,video
youtube,4,1,172.17.93.240,49.44.226.172,19,12619,0.0416,303065.25,664.16,581.24,30,1258,0.002313,0.00348,0.0,0.011383,1,0.6316,video
youtube,4,2,172.17.93.240,49.44.226.172,3072,3175503,4.1949,756983.12,1033.69,471.44,32,1258,0.001366,0.030723,0.0,1.700693,2,0.1839,video
youtube,4,3,172.17.93.240,49.44.226.172,1784,1805099,1.3905,1298195.62,1011.83,488.43,32,1258,0.00078,0.001584,0.0,0.027001,1,0.2012,video
youtube,4,4,172.17.93.240,49.44.226.172,2529,2680660,4.8687,550594.25,1059.97,448.71,32,1258,0.001926,0.054098,0.0,2.718703,2,0.1633,video
youtube,4,0,142.251.220.110,172.17.93.240,24,10325,0.1274,81065.85,430.21,516.01,32,1258,0.005538,0.011482,0.0,0.045327,1,0.4583,data
youtube,4,0,172.17.93.240,49.44.226.175,399,390943,0.3275,1193693.5,979.81,506.35,31,1258,0.000823,0.002385,0.0,0.015543,1,0.2256,video
